Time,speed
2021-09-12 20:02:03,0.0
2021-09-12 20:02:08,11.0
2021-09-12 20:02:13,13.0
2021-09-12 20:02:18,8.0
2021-09-12 20:02:23,10.0
2021-09-12 20:02:28,22.0
2021-09-12 20:02:33,25.0
2021-09-12 20:02:38,
2021-09-12 20:02:43,28.0
2021-09-12 20:02:48,34.0
2021-09-12 20:02:53,41.0
2021-09-12 20:02:58,36.0
2021-09-12 20:03:03,30.0
2021-09-12 20:03:08,32.0
2021-09-12 20:03:18,47.0
2021-09-12 20:03:23,45.0
2021-09-12 20:03:28,
2021-09-12 20:03:33,31.0
2021-09-12 20:03:38,41.0
2021-09-12 20:03:43,45.0
2021-09-12 20:03:48,46.0
2021-09-12 20:03:53,40.0
2021-09-12 20:03:58,32.0
2021-09-12 20:04:03,30.0
2021-09-12 20:04:08,44.0
2021-09-12 20:04:13,51.0
2021-09-12 20:04:18,52.0
2021-09-12 20:04:23,51.0
2021-09-12 20:04:28,48.0
2021-09-12 20:04:33,49.0
2021-09-12 20:04:38,50.0
2021-09-12 20:04:43,
2021-09-12 20:04:48,
2021-09-12 20:04:53,28.0
2021-09-12 20:04:58,33.0
2021-09-12 20:05:03,33.0
2021-09-12 20:05:08,31.0
2021-09-12 20:05:13,34.0
2021-09-12 20:05:18,30.0
2021-09-12 20:05:23,23.0
2021-09-12 20:05:28,32.0
2021-09-12 20:05:33,33.0
2021-09-12 20:05:38,26.0
2021-09-12 20:05:43,16.0
2021-09-12 20:05:48,22.0
2021-09-12 20:05:53,19.0
2021-09-12 20:05:58,11.0
2021-09-12 20:06:03,0.0
