Time,speed,accel
2021-09-12 20:02:03,0.0,0.0
2021-09-12 20:02:08,11.0,1.1
2021-09-12 20:02:13,13.0,0.2
2021-09-12 20:02:18,8.0,-0.5
2021-09-12 20:02:23,10.0,0.2
2021-09-12 20:02:28,22.0,1.2
2021-09-12 20:02:33,25.0,0.3
2021-09-12 20:02:38,26.0,0.15
2021-09-12 20:02:43,28.0,0.15
2021-09-12 20:02:48,34.0,0.6
2021-09-12 20:02:53,41.0,0.7
2021-09-12 20:02:58,36.0,-0.5
2021-09-12 20:03:03,30.0,-0.6
2021-09-12 20:03:08,32.0,0.2
2021-09-12 20:03:18,47.0,1.5
2021-09-12 20:03:23,45.0,-0.2
2021-09-12 20:03:28,38.0,-0.7
2021-09-12 20:03:33,31.0,-0.7
2021-09-12 20:03:38,41.0,10.0
2021-09-12 20:03:43,45.0,0.4
2021-09-12 20:03:48,46.0,0.1
2021-09-12 20:03:53,40.0,-0.6
2021-09-12 20:03:58,32.0,-0.8
2021-09-12 20:04:03,30.0,-0.2
2021-09-12 20:04:08,44.0,1.4
2021-09-12 20:04:13,51.0,0.7
2021-09-12 20:04:18,52.0,0.1
2021-09-12 20:04:23,51.0,-0.1
2021-09-12 20:04:28,48.0,-0.3
2021-09-12 20:04:33,49.0,0.1
2021-09-12 20:04:38,50.0,0.1
2021-09-12 20:04:43,42.0,-5.4
2021-09-12 20:04:48,35.0,-1.0
2021-09-12 20:04:53,28.0,-0.7
2021-09-12 20:04:58,33.0,0.5
2021-09-12 20:05:03,33.0,0.0
2021-09-12 20:05:08,31.0,-0.2
2021-09-12 20:05:13,34.0,0.3
2021-09-12 20:05:18,30.0,-0.4
2021-09-12 20:05:23,23.0,-0.7
2021-09-12 20:05:28,32.0,0.9
2021-09-12 20:05:33,33.0,0.1
2021-09-12 20:05:38,26.0,-0.7
2021-09-12 20:05:43,16.0,-1.0
2021-09-12 20:05:48,22.0,0.6
2021-09-12 20:05:53,19.0,-0.3
2021-09-12 20:05:58,11.0,-0.8
2021-09-12 20:06:03,0.0,-1.1
