,Year,Cause of death or injury,Value
0,2017,Tuberculosis,0.0211573756141351
2,2017,HIV/AIDS,0.0170611251089369
4,2017,Diarrheal diseases,0.0280533101090737
6,2017,Other intestinal infectious diseases,2.58723479591e-05
8,2017,Lower respiratory infections,0.0457336479660751
10,2017,Upper respiratory infections,0.0001628671493701
12,2017,Otitis media,1.69440385863e-05
14,2017,Meningitis,0.005148121667779
16,2017,Encephalitis,0.0016510598694873
18,2017,Diphtheria,6.47776890652e-05
20,2017,Whooping cough,0.0016408007069808
22,2017,Tetanus,0.0006816135000307
24,2017,Measles,0.0017034712666564
26,2017,Varicella and herpes zoster,0.0002786693563271
28,2017,Malaria,0.011078340274879
30,2017,Chagas disease,0.0001403720918739
32,2017,Leishmaniasis,0.0001345632685432
34,2017,African trypanosomiasis,2.43933373104e-05
36,2017,Schistosomiasis,0.0001579495392248
38,2017,Cysticercosis,1.33908238799e-05
40,2017,Cystic echinococcosis,2.1386062453e-05
42,2017,Lymphatic filariasis,0.0
44,2017,Onchocerciasis,0.0
46,2017,Trachoma,0.0
48,2017,Dengue,0.0007233386058357
50,2017,Yellow fever,8.55471470431e-05
52,2017,Rabies,0.0002083847259727
54,2017,Intestinal nematode infections,5.73008269868e-05
56,2017,Food-borne trematodiases,0.0
58,2017,Other neglected tropical diseases,0.0002245173644245
60,2017,Maternal disorders,0.0034610645158844
62,2017,Neonatal disorders,0.0318836686735364
64,2017,Protein-energy malnutrition,0.0041427851160826
66,2017,Iodine deficiency,0.0
68,2017,Vitamin A deficiency,0.0
70,2017,Dietary iron deficiency,0.0
72,2017,Other nutritional deficiencies,0.0006832782337561
74,2017,Sexually transmitted infections excluding HIV,0.0021285622744547
76,2017,Acute hepatitis,0.0022591798525185
78,2017,Leprosy,0.0
80,2017,Other unspecified infectious diseases,0.0014169176647729
82,2017,Esophageal cancer,0.0077924723494445
84,2017,Stomach cancer,0.015461213609688
86,2017,Liver cancer,0.0146468169971159
88,2017,Larynx cancer,0.0022605990637818
90,2017,"Tracheal, bronchus, and lung cancer",0.033658851543742
92,2017,Breast cancer,0.0109324068791053
94,2017,Cervical cancer,0.0046414284810586
96,2017,Uterine cancer,0.0015236005308594
98,2017,Prostate cancer,0.0074342635228325
100,2017,Colon and rectum cancer,0.0160163636956137
102,2017,Lip and oral cavity cancer,0.0034622018774819
104,2017,Nasopharynx cancer,0.0012431580771098
106,2017,Other pharynx cancer,0.0020986732114468
108,2017,Gallbladder and biliary tract cancer,0.0031097191942689
110,2017,Pancreatic cancer,0.0078841832924304
112,2017,Malignant skin melanoma,0.0011022547576849
114,2017,Non-melanoma skin cancer,0.0011635858923242
116,2017,Ovarian cancer,0.0031455902611459
118,2017,Testicular cancer,0.0001369499993452
120,2017,Kidney cancer,0.0024761162489309
122,2017,Bladder cancer,0.0035131997475803
124,2017,Brain and nervous system cancer,0.0044175165107495
126,2017,Thyroid cancer,0.0007370554828541
128,2017,Mesothelioma,0.0005346084430456
130,2017,Hodgkin lymphoma,0.0005819737511459
132,2017,Non-Hodgkin lymphoma,0.0044442501437125
134,2017,Multiple myeloma,0.0019146217258646
136,2017,Leukemia,0.0062129296403176
138,2017,Other malignant neoplasms,0.0064267064746691
140,2017,Other neoplasms,0.0018396778897259
142,2017,Rheumatic heart disease,0.0051034897906684
144,2017,Ischemic heart disease,0.159626658585997
146,2017,Stroke,0.1102370831646027
148,2017,Hypertensive heart disease,0.0165460503875236
150,2017,Cardiomyopathy and myocarditis,0.0065874314327402
152,2017,Atrial fibrillation and flutter,0.0051343750058958
154,2017,Aortic aneurysm,0.0029895066136537
156,2017,Peripheral artery disease,0.0012542509990393
158,2017,Endocarditis,0.0014905728862199
160,2017,Non-rheumatic valvular heart disease,0.0025893166350714
